Name,Description,DueDate,LengthInHours,Status
Grocery run for the week,"October grocery run. Stock up on fall baking supplies.",2022-10-05,1.5,Complete
Marathon training run - 10 miles,"10-mile training run for the November race. River trail route.",2022-10-10,2,Complete
File quarterly estimated taxes,"Q3 estimated tax payment due.",2022-10-15,1,Complete
Visit grandparents,"Fall visit to grandparents. Help with the yard cleanup.",2022-10-22,5,Complete
Pay mortgage,"October mortgage payment. Escrow adjusted this month.",2022-10-01,0.25,Complete
Meal prep Sunday,"Prep meals for the busy Halloween week.",2022-10-30,2,Complete
Grocery run for the week,"Thanksgiving shopping part one. Get the non-perishables early.",2022-11-12,1.5,Complete
Pick up prescription refills,"Fall prescription refills. Also ask about the generic alternatives.",2022-11-15,0.5,Complete
Cousin Tyler's wedding weekend,"Tyler and Jessica's wedding! Pack the suit and the gift.",2022-11-19,8,Complete
Batch cook meals for the week,"Post-Thanksgiving meal prep. Turkey soup and turkey sandwiches all week.",2022-11-27,3,Complete
Visit grandparents,"December visit. Bring the Christmas gifts early to avoid the rush.",2022-12-04,5,Complete
Pay electric bill,"December electric bill. The new LED holiday lights are saving money.",2022-12-12,0.25,Complete
Grocery run for the week,"Christmas week grocery run. Everything for the holiday dinner.",2022-12-19,1.5,Complete
Replace windshield wipers,"Wipers are falling apart in the ice. Emergency replacement.",2023-01-12,0.25,Complete
Schedule roof inspection,"Post-winter roof inspection. Ice dam damage possible.",2023-01-16,0.5,Complete
Flea and tick treatment for Max,"Winter flea treatment. Vet recommended continuing through winter.",2023-01-25,0.25,Complete
Oil change for the Honda,"New year oil change. The car is at 60k miles.",2023-01-28,1,Complete
Lawn mower maintenance,"Pre-season mower prep. Order the new air filter.",2023-02-05,2,Complete
Pick up prescription refills,"February prescription refills at CVS.",2023-02-08,0.5,Complete
Organize garage,"Quick garage tidy. Find the Valentine's Day decorations.",2023-02-11,6,Complete
Pay mortgage,"March mortgage payment.",2023-03-01,0.25,Complete
Batch cook meals for the week,"March meal prep. St. Patrick's Day corned beef and cabbage included.",2023-03-12,3,Complete
Visit grandparents,"Spring break visit with the kids to Grandma and Grandpa's.",2023-03-16,5,Complete
Schedule meeting with financial advisor,"Q1 meeting with Greg. Review the tax implications of the home office deduction.",2023-03-19,0.5,Complete
Stock up on pantry staples,"Quarterly Costco pantry restock.",2023-03-25,1.5,Complete
Grocery run for the week,"April grocery run. Easter supplies and regular items.",2023-04-03,1.5,Complete
Pay mortgage,"April mortgage payment.",2023-04-01,0.25,Complete
Replace kitchen faucet,"The kitchen faucet handle is loose. Replace with the new Kohler model.",2023-04-08,2,Complete
Install doorbell camera,"Upgrade to the Ring Doorbell Pro. Better night vision needed.",2023-04-15,1,Complete
Backup computer files,"Spring computer maintenance. Full backup and disk cleanup.",2023-04-19,1,Complete
Review 401k contributions,"Q1 401k check. Contribution rate is fine but consider Roth option.",2023-04-21,0.5,Complete
Grocery run for the week,"Weekly groceries. Farmers market opened for the season.",2023-05-06,1.5,Complete
Pay mortgage,"May mortgage payment.",2023-05-01,0.25,Complete
Order birthday gift for Mom,"Mom's birthday gift. She wants a new set of gardening gloves.",2023-05-10,0.5,Complete
Schedule kids' dental cleanings,"Spring dental appointments for both kids.",2023-05-12,0.25,Complete
Property tax payment,"Spring property tax payment due end of May.",2023-05-25,0.5,Complete
Pay electric bill,"May electric bill. AC starting up.",2023-05-28,0.25,Complete
Return Amazon packages,"Return the wrong-size shoes and the defective Bluetooth speaker.",2023-06-01,0.5,Complete
Pay mortgage,"June mortgage payment.",2023-06-01,0.25,Complete
Wash and detail the car,"Summer car detail. Getting ready for the road trip.",2023-06-08,0.5,Complete
Sprint retrospective,"June sprint retro. Feature velocity is great heading into summer.",2023-06-12,1,Complete
Replace windshield wipers,"Summer storm debris damaged the wipers. Quick replacement.",2023-06-16,0.25,Complete
Grocery run for the week,"June grocery run. Stocking up for the camping trip.",2023-06-22,1.5,Complete
Pay mortgage,"July mortgage payment.",2023-07-01,0.25,Complete
Review investment portfolio,"Mid-year investment review. The bond portfolio needs attention.",2023-07-03,2,Complete
Kids' soccer game,"Jake's summer league game. He's playing defender this season.",2023-07-07,2,Complete
Batch cook meals for the week,"Summer meal prep. Light meals for the hot weather.",2023-07-10,3,Complete
Grocery run for the week,"Weekly groceries. Lots of watermelon and berries.",2023-07-15,1.5,Complete
Backup computer files,"Mid-year backup. Clean up old files and update cloud sync.",2023-07-20,1,Complete
Pay electric bill,"July electric bill. AC is running full blast.",2023-07-23,0.25,Complete
Sprint retrospective,"July sprint retro. Database migration planning is on track.",2023-07-26,1,Complete
Replace smoke detector batteries,"Replace batteries in all detectors. CO detector batteries too.",2023-08-01,0.5,Complete
Pay mortgage,"August mortgage payment.",2023-08-01,0.25,Complete
Grocery run for the week,"August grocery run. Back to school is approaching.",2023-08-06,1.5,Complete
Schedule roof inspection,"Annual roof inspection before the fall storm season.",2023-08-09,0.5,Complete
Oil change for the Honda,"Summer oil change. Car is at 70k miles now.",2023-08-14,1,Complete
Pay electric bill,"August electric bill. Peak AC costs this month.",2023-08-17,0.25,Complete
File quarterly estimated taxes,"Q3 estimated tax payment due.",2023-09-15,1,Complete
Grocery run for the week,"September grocery run. Fall recipes starting up.",2023-09-10,1.5,Complete
Pay mortgage,"September mortgage payment.",2023-09-01,0.25,Complete
Property tax payment,"Fall property tax installment due this month.",2023-09-20,0.5,Complete
Wash and detail the car,"End of summer car detail. Clean up the camping dirt.",2023-09-24,0.5,Complete
Batch cook meals for the week,"Fall meal prep kickoff. Making beef stew and chicken pot pie.",2023-09-30,3,Complete
Grocery run for the week,"October grocery run. Pumpkin baking season!",2023-10-08,1.5,Complete
Pay mortgage,"October mortgage payment.",2023-10-01,0.25,Complete
Kids' soccer game,"Fall soccer. Emma's team is in first place!",2023-10-14,2,Complete
Backup computer files,"Fall backup. Quarter-end file organization.",2023-10-18,1,Complete
Grocery run for the week,"Weekly run. Stocking up for the Halloween party.",2023-10-25,1.5,Complete
Pay electric bill,"October electric bill. Reasonable shoulder month.",2023-10-28,0.25,Complete
Pay mortgage,"November mortgage payment.",2023-11-01,0.25,Complete
Property tax payment,"Semi-annual property tax. Due before end of November.",2023-11-08,0.5,Complete
Pay electric bill,"November electric bill. First heating month.",2023-11-15,0.25,Complete
Sprint retrospective,"November sprint retro. Year-end push is going well.",2023-11-17,1,Complete
Grocery run for the week,"Thanksgiving grocery trip. Getting everything in one big haul.",2023-11-18,1.5,Complete
Visit grandparents,"Pre-Thanksgiving visit. Deliver the pumpkin pie.",2023-11-21,5,Complete
Pay mortgage,"December mortgage payment. Final one of the year.",2023-12-01,0.25,Complete
Pick up prescription refills,"December prescription refills before the holiday travel.",2023-12-05,0.5,Complete
Pay electric bill,"December electric bill. Holiday lights and heating.",2023-12-12,0.25,Complete
Grocery run for the week,"Christmas week groceries. Prime rib and all the fixings.",2023-12-18,1.5,Complete
Review investment portfolio,"Year-end investment review. Strong finish to the market.",2023-12-22,2,Complete
Batch cook meals for the week,"Post-holiday meal prep using all the leftovers.",2023-12-29,3,Complete
Sprint retrospective,"First sprint retro of 2024. Planning the big platform push.",2024-01-07,1,Complete
Pay electric bill,"January electric bill. Cold snap drove up heating costs.",2024-01-15,0.25,Complete
Grocery run for the week,"Weekly groceries. Healthy eating for the new year.",2024-01-20,1.5,Complete
Backup computer files,"New year full backup. Archive all 2023 files.",2024-01-22,1,Complete
Flea and tick treatment for Max,"January flea treatment. Vet says keep it up year-round.",2024-01-27,0.25,Complete
Order birthday gift for Mom,"Mom's birthday coming up. Order the new cookbook she wanted.",2024-01-30,0.5,Complete
Sprint retrospective,"February sprint retro. Auth module refactor is complete.",2024-02-07,1,Complete
Property tax payment,"Q1 property tax installment. Check the updated amount online.",2024-02-10,0.5,Complete
Schedule meeting with financial advisor,"Annual meeting with Greg. Review the 529 plan and retirement timeline.",2024-02-14,0.5,Complete
Grocery run for the week,"February grocery run. Valentine's Day dinner ingredients.",2024-02-16,1.5,Complete
Batch cook meals for the week,"Meal prep for the short week. Simple one-pot meals.",2024-02-18,3,Complete
Pay credit card bill,"February credit card bill. Valentine's dinner was worth it.",2024-02-28,0.25,Complete
Finish reading for book club,"March book club pick. Only 50 pages left to read.",2024-03-04,2,Complete
Pay mortgage,"March mortgage payment.",2024-03-01,0.25,Complete
Pay electric bill,"March electric bill. Starting to use less heat.",2024-03-12,0.25,Complete
Grocery run for the week,"Weekly groceries. Spring produce is showing up at the market.",2024-03-16,1.5,Complete
Pay credit card bill,"April credit card. Tax season expenses included.",2024-04-30,0.25,Complete
Flea and tick treatment for Max,"Spring flea season. Apply treatment and order the next supply.",2024-04-02,0.25,Complete
Pay mortgage,"April mortgage payment.",2024-04-01,0.25,Complete
Grocery run for the week,"April grocery run. Lots of asparagus and strawberries.",2024-04-13,1.5,Complete
Sprint retrospective,"April sprint retro. Preparing for the summer feature release.",2024-04-16,1,Complete
Pick up prescription refills,"Spring prescription refills at Walgreens.",2024-04-18,0.5,Complete
Backup computer files,"Quarterly backup. External drive and cloud sync verified.",2024-04-20,1,Complete
Pay electric bill,"April electric bill. Great shoulder month.",2024-04-23,0.25,Complete
Batch cook meals for the week,"April meal prep. Mediterranean bowls and chicken wraps.",2024-04-27,3,Complete
Pay mortgage,"June mortgage payment.",2024-06-01,0.25,Complete
Grocery run for the week,"June grocery run. Picnic and BBQ supplies.",2024-06-08,1.5,Complete
Sprint retrospective,"June sprint retro. On track for the big summer deployment.",2024-06-12,1,Complete
Pick up dry cleaning,"Summer clothes from the cleaners. Rachel's sundress and my blazer.",2024-06-14,0.5,Complete
Flea and tick treatment for Max,"Monthly flea treatment. Peak tick season now.",2024-06-18,0.25,Complete
Backup computer files,"Mid-year backup. Clean up the downloads folder too.",2024-06-21,1,Complete
Lawn mower maintenance,"Mid-season blade sharpening. Grass is growing fast.",2024-06-26,2,Complete
Pay mortgage,"July mortgage payment.",2024-07-01,0.25,Complete
Sprint retrospective,"July sprint retro. Summer deployment was smooth.",2024-07-16,1,Complete
Kids' soccer game,"Summer league. Jake scored a hat trick!",2024-07-12,2,Complete
Batch cook meals for the week,"July meal prep. Poke bowls and grilled veggies.",2024-07-14,3,Complete
Pay electric bill,"July electric bill. Running the AC around the clock.",2024-07-21,0.25,Complete
Grocery run for the week,"Weekly groceries. Preparing for the beach trip.",2024-07-25,1.5,Complete
Pay mortgage,"September mortgage payment.",2024-09-01,0.25,Complete
Grocery run for the week,"September grocery run. Apple picking season!",2024-09-06,1.5,Complete
Sprint retrospective,"September sprint retro. Database migration went well.",2024-09-11,1,Complete
Backup computer files,"Quarter-end backup and file organization.",2024-09-14,1,Complete
Pick up prescription refills,"Fall prescriptions and flu season meds.",2024-09-18,0.5,Complete
Coffee catch-up with Lisa,"Coffee with Lisa. She landed the new job!",2024-09-22,1.5,Complete
Pay electric bill,"September electric bill. AC costs dropping.",2024-09-27,0.25,Complete
Visit grandparents,"Fall visit. Apple picking at the orchard near their house.",2024-10-13,5,Complete
Pick up dry cleaning,"Fall wardrobe pieces from the cleaners.",2024-10-20,0.5,Complete
Grocery run for the week,"October grocery run. Halloween candy and fall baking.",2024-10-25,1.5,Complete
Batch cook meals for the week,"October meal prep. Pumpkin soup and turkey meatballs.",2024-10-26,3,Complete
Sprint retrospective,"October sprint retro. Q4 is off to a strong start.",2024-10-30,1,Complete
Pay mortgage,"December mortgage payment. Year-end.",2024-12-01,0.25,Complete
Backup computer files,"Year-end backup. Archive everything from 2024.",2024-12-08,1,Complete
Flea and tick treatment for Max,"December flea treatment. Vet says skip Jan and Feb.",2024-12-12,0.25,Complete
Grocery run for the week,"December grocery run. Holiday baking and dinner party supplies.",2024-12-14,1.5,Complete
Visit grandparents,"Pre-Christmas visit. The kids put up decorations with Grandma.",2024-12-21,5,Complete
Pay electric bill,"December electric bill. End of year utilities.",2024-12-26,0.25,Complete
Grocery run for the week,"New Year's Eve grocery run. Party supplies.",2024-12-30,1.5,Complete
Pick up dry cleaning,"New year wardrobe items from the cleaners.",2025-01-03,0.5,Complete
Sprint retrospective,"January sprint retro. New year roadmap kickoff.",2025-01-08,1,Complete
Flea and tick treatment for Max,"February flea treatment. Indoor-only treatment per the vet.",2025-02-02,0.25,Complete
Pick up prescription refills,"February prescriptions. Blood pressure and allergy meds.",2025-02-08,0.5,Complete
Grocery run for the week,"February grocery run. Valentine's treats and weekly staples.",2025-02-09,1.5,Complete
